phrase,english,spanish
把美好的回忆留在心中,Hold your beautiful memories in your heart,Guarda tus preciosos recuerdos en tu corazón
她说了问题的两个方面,He talked about both sides of the problem,Él hablo de ambos lados del problema
以上的问题都明白了嘛？,Do you understand all of the above questions?,Entiendes todas las preguntas de arriba?
老师要求学生交作业,The teacher asked the students hand in their homework,La maestra le pidió a los estudiantes entregar la tarea
这些是工作要求,These are the job requirements,Estos son los requerimientos del trabajo
这本书的内容很难,The content of this book is difficult,El contenido de este libro es dificíl
今天的会议内容是什么?,What is today's meeting content?,Cuál es el contenido de la junta de hoy?
这里有一张纸,Here is one sheet of paper,Aquí esta una hoja de papel
桌子上有一张报纸,There's a newspaper on the table,Hay un periodico sobre la mesa
作业完成了,The work was completed,El trabajo se completó
我完成了这项工作,I have finished this work,Terminé este trabajo
这是我的基本条件,These are my basic conditions,Estas son mis condiciones básicas
工作基本完成了,The work is basically finished,El trabajo está básicamente terminado
这件是我今天才知道,I only found out about this today,Apenas hoy me entere de esto
午饭才刚开始,Lunch has just started,La comida apenas empezó
它是一只鸟,That's a bird,Esa es un ave
它是什么动物？,What kind of animal is it?,Qué clase de animal es?
我在车站等你,I'll wait for you at the station,Te espero en la estación
他站在窗前,He's standing in front of the window,Él esta parado frente a la ventana
这个信息是错误的,This information is wrong,Esta información está mal
他给我发了一条信息,He send me a message,Él me mandó un mensaje
他们来自不同的地区,They come fron different areas,Ellos vienen de diferentes areas
工作出现了问题,A problem arose regarding the work,Surgió un problema con el trabajo
这次的考试很容易,The examination is quite easy this time,El examén estuvó muy fácil esta vez
冬天容易感冒,It's easy to catch a cold in winter,Es fácil resfriarse en invierno
他今年上三年级,He'll be in the third grade this year,Él estará en tercer año este año
我今年大学毕业,I'll graduate from university this year,Me graduo de la universidad este año
我家离学校很近,My home is very close to school,Mi casa esta muy cerca de la escuela
近几天我很忙,I've been busy the last few days,He estado ocupado estos días
这里很安全,It's safe here,Aquí es seguro
开车要注意安全,Drive safe,Conduce con cuidado
这棵树有三米高,This tree is three meters tall,Este árbol mide tres metros
我们喜欢吃米饭,We like eating rice,Nos gusta comer arroz
他还是失败了,He still failed,Él aún así falló
你喝茶还是咖啡,Would you prefer tea or coffee?,Prefieres té o café?
我的收入提高了,My income went up,Mi salario subió
他发表了新论文,He has published a new paper,Él publicó un nuevo articulo
他说话说的很快,He talks rapidly,Él habla rapido
快点，要迟到了,Hurry up a little or we'll be late,Apurate o vamos a llegar tarde
我没听懂你说的话,I didn't understand what you said,No entendí lo que dijiste
他在跟谁说话,Who is he talking with?,Con quién está hablando él?
我七点以前下班,I get off work by 7 pm,Termino de trabajar a las 7
我以前来过这里,I have been here before,He estado aquí antes
我喜欢体育运动,I like sports,Me gustan los deportes
我完成了工作的一部分,I finished one part of the work,Terminé una parte del trabajo
公司共有员工1000人,There are 1000 employees in this company,Hay 1000 empleados en esta empresa
我的钱包里共有300元,There is 300 yuan total in my wallet,Hay 300 yuanes en mi cartera
我喜欢看科学杂志,I like reading science magazines,Me gusta leer revistas de ciencia
我五点以后下班,I finish work after 5,Termino de trabajar despues de las 5

